Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\com,1,12064,2149,1974,0,4,0,9911,46857,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\com\dsespace,1,12064,2149,1974,0,4,0,9911,46857,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\com\dsespace\rvwg,1,12064,2149,1974,0,4,0,9911,46857,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release,14,15489,5470,5339,0,30,0,9989,47273,84,448
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android,13,3425,3321,3365,0,26,0,78,416,78,416
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support,13,3425,3321,3365,0,26,0,78,416,78,416
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\compat,1,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\constraint,1,187,179,178,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\coreui,1,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\coreutils,1,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\customtabs,1,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\design,1,1730,1722,1761,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\fragment,1,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\graphics,2,22,6,4,0,4,0,12,64,12,64
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\graphics\drawable,2,22,6,4,0,4,0,12,64,12,64
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\graphics\drawable\animated,1,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\mediacompat,1,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\v4,1,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\v7,2,1409,1393,1408,0,4,0,12,64,12,64
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\v7\appcompat,1,1375,1367,1386,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\android\support\v7\recyclerview,1,34,26,22,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\com,1,12064,2149,1974,0,4,0,9911,46857,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\com\dsespace,1,12064,2149,1974,0,4,0,9911,46857,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\release\com\dsespace\rvwg,1,12064,2149,1974,0,4,0,9911,46857,6,32
E:\Development\Android\RvWG2\app\src,7,492,290,225,21,86,1,116,556,0,0
E:\Development\Android\RvWG2\app\src\androidTest,1,27,15,11,0,6,0,6,24,0,0
E:\Development\Android\RvWG2\app\src\androidTest\java,1,27,15,11,0,6,0,6,24,0,0
E:\Development\Android\RvWG2\app\src\androidTest\java\com,1,27,15,11,0,6,0,6,24,0,0
E:\Development\Android\RvWG2\app\src\androidTest\java\com\dsespace,1,27,15,11,0,6,0,6,24,0,0
E:\Development\Android\RvWG2\app\src\androidTest\java\com\dsespace\rvwg,1,27,15,11,0,6,0,6,24,0,0
E:\Development\Android\RvWG2\app\src\main,5,448,266,208,21,77,1,105,511,0,0
E:\Development\Android\RvWG2\app\src\main\java,5,448,266,208,21,77,1,105,511,0,0
E:\Development\Android\RvWG2\app\src\main\java\com,5,448,266,208,21,77,1,105,511,0,0
E:\Development\Android\RvWG2\app\src\main\java\com\dsespace,5,448,266,208,21,77,1,105,511,0,0
E:\Development\Android\RvWG2\app\src\main\java\com\dsespace\rvwg,5,448,266,208,21,77,1,105,511,0,0
E:\Development\Android\RvWG2\app\src\test,1,17,9,6,0,3,0,5,21,0,0
E:\Development\Android\RvWG2\app\src\test\java,1,17,9,6,0,3,0,5,21,0,0
E:\Development\Android\RvWG2\app\src\test\java\com,1,17,9,6,0,3,0,5,21,0,0
E:\Development\Android\RvWG2\app\src\test\java\com\dsespace,1,17,9,6,0,3,0,5,21,0,0
E:\Development\Android\RvWG2\app\src\test\java\com\dsespace\rvwg,1,17,9,6,0,3,0,5,21,0,0
