Word,Count
#AlertDialog_listLayout,4
#ConstraintSet_layout_constraintGuide_percent,4
com.dsespace.rvwg.R.attr#layout_goneMarginBottom},4
#AppCompatTheme_ratingBarStyle,4
com.dsespace.rvwg.R.attr#layout_editor_absoluteX},4
#CoordinatorLayout_Layout_android_layout_gravity,4
#MenuItem_actionLayout,4
#ConstraintLayout_Layout_layout_editor_absoluteY,4
<tr><td><code>showCustom</code></td><td>0x10</td><td></td></tr>,4
#AppCompatTheme_actionBarPopupTheme,4
#AppCompatTheme_textAppearanceListItem,4
com.dsespace.rvwg:height}</code></td><td></td></tr>,4
#SwitchCompat_switchMinWidth,4
#LinearLayoutCompat_android_weightSum,4
#ViewBackgroundHelper_android_background,4
#LinearLayoutCompat_showDividers,4
#ViewStubCompat_android_inflatedId,4
<tr><td><code>parallax</code></td><td>2</td><td></td></tr>,4
#DesignTheme_bottomSheetDialogTheme,4
com.dsespace.rvwg:layout_constraintEnd_toEndOf,4
#SearchView_iconifiedByDefault,4
#ListPopupWindow_android_dropDownHorizontalOffset,4
#PopupWindow_android_popupAnimationStyle,4
com.dsespace.rvwg:layout_constraintBottom_creator,4
#ConstraintLayout_Layout_android_orientation,4
#View_theme,4
#View_android_focusable,4
#AppCompatTheme_actionModeCutDrawable,4
com.dsespace.rvwg:layout_constraintTop_toBottomOf}</code></td><td></td></tr>,4
com.dsespace.rvwg:layout_constraintHorizontal_bias,4
#View_paddingStart,4
com.dsespace.rvwg.R.attr#layout_constraintRight_toLeftOf},4
#AppCompatTheme_dropDownListViewStyle,4
#ConstraintSet_layout_constraintTop_toTopOf,4
#ConstraintSet_android_elevation,4
<tr><td><code>tabMode</code></td><td>2</td><td></td></tr>,4
#SearchView_layout,4
com.dsespace.rvwg.R.attr#layout_goneMarginTop},4
#ActionBar_progressBarStyle,4
#AppCompatTheme_actionModePopupWindowStyle,4
<tr><td><code>enterAlways</code></td><td>0x4</td><td></td></tr>,4
#ConstraintSet_android_layout_marginStart,4
com.dsespace.rvwg.R.attr#contentInsetEndWithActions},4
com.dsespace.rvwg:layout_editor_absoluteY}</code></td><td></td></tr>,4
#ConstraintSet_android_layout_marginLeft,4
#ActionBar_background,4
#TextInputLayout_passwordToggleTintMode,4
<tr><td><code>exitUntilCollapsed</code></td><td>0x2</td><td></td></tr>,4
#TextInputLayout_errorEnabled,4
com.dsespace.rvwg:layout_constraintLeft_toRightOf,4
#AppBarLayout_elevation,4
com.dsespace.rvwg:layout_goneMarginTop,4
com.dsespace.rvwg:layout_goneMarginBottom,4
#LinearLayoutCompat_android_gravity,4
com.dsespace.rvwg:logo,4
#MenuItem_android_checkable,4
#ConstraintSet_layout_constraintRight_toRightOf,4
#BottomSheetBehavior_Layout_behavior_skipCollapsed,4
com.dsespace.rvwg:layout_constraintLeft_toLeftOf,4
#NavigationView_itemIconTint,4
#ConstraintSet_layout_constraintBottom_toTopOf,4
#Spinner_android_popupBackground,4
#SwitchCompat_switchTextAppearance,4
#AppBarLayout_Layout_layout_scrollInterpolator,4
com.dsespace.rvwg:layout_constraintTop_creator,4
#DrawerArrowToggle_arrowHeadLength,4
#CollapsingToolbarLayout_Layout_layout_collapseParallaxMultiplier,4
#AppCompatTheme_windowActionModeOverlay,4
#SwitchCompat_trackTint,4
run,4
#ButtonBarLayout_allowStacking,4
#AppCompatTheme_listPreferredItemHeightSmall,4
#MenuGroup_android_menuCategory,4
#DrawerArrowToggle_spinBars,4
#ConstraintLayout_Layout_android_minHeight,4
#AppCompatTheme_autoCompleteTextViewStyle,4
#AppCompatTheme_alertDialogButtonGroupStyle,4
#AppCompatTheme_alertDialogStyle,4
com.dsespace.rvwg.R.attr#layout_constraintStart_toStartOf},4
#AppCompatTheme_imageButtonStyle,4
android:gravity,4
#AppCompatTheme_colorControlHighlight,4
android.R.attr#textAppearance},4
#ConstraintSet_android_scaleX,4
#ActionMode_subtitleTextStyle,4
#RecyclerView_stackFromEnd,4
com.dsespace.rvwg:layout_goneMarginStart}</code></td><td></td></tr>,4
#AppCompatTheme_ratingBarStyleSmall,4
#CoordinatorLayout_Layout_layout_dodgeInsetEdges,4
#FloatingActionButton_backgroundTintMode,4
com.dsespace.rvwg:subtitleTextStyle}</code></td><td></td></tr>,4
com.dsespace.rvwg:divider}</code></td><td></td></tr>,4
#MenuItem_showAsAction,4
#AppCompatTheme_listMenuViewStyle,4
#SwitchCompat_splitTrack,4
android:menuCategory}</code></td><td></td></tr>,4
#ConstraintSet_layout_constraintHeight_min,4
#SearchView_defaultQueryHint,4
com.dsespace.rvwg:layout_constraintWidth_max,4
#MenuGroup_android_visible,4
android.R.attr#layout_width},4
#ConstraintLayout_Layout_android_maxHeight,4
#LinearLayoutCompat_Layout_android_layout_weight,4
#ConstraintSet_layout_constraintGuide_begin,4
#AppCompatTheme_actionBarTabTextStyle,4
#CoordinatorLayout_statusBarBackground,4
android.R.attr#layout_height},4
#ColorStateListItem_android_alpha,4
#SearchView_closeIcon,4
com.dsespace.rvwg:layout_constraintEnd_toEndOf}</code></td><td></td></tr>,4
#ConstraintLayout_Layout_layout_constraintLeft_toLeftOf,4
#AppCompatTheme_searchViewStyle,4
com.dsespace.rvwg.R.attr#layout_constraintLeft_toRightOf},4
#TabLayout_tabPaddingStart,4
#SwitchCompat_switchPadding,4
com.dsespace.rvwg:layout_constraintHeight_max,4
#AppCompatTheme_actionBarSplitStyle,4
#Toolbar_titleMarginEnd,4
#ForegroundLinearLayout_android_foregroundGravity,4
#ActionBar_titleTextStyle,4
#ColorStateListItem_alpha,4
#TextInputLayout_counterTextAppearance,4
#ActionBar_homeLayout,4
#ConstraintSet_android_transformPivotX,4
#ActionBar_backgroundSplit,4
#RecyclerView_layoutManager,4
com.dsespace.rvwg:contentInsetLeft}</code></td><td></td></tr>,4
#AppCompatTheme_actionBarStyle,4
#AppCompatSeekBar_tickMarkTintMode,4
#TextAppearance_android_textStyle,4
#ConstraintLayout_Layout_layout_constraintDimensionRatio,4
<tr><td><code>scroll</code></td><td>0x1</td><td></td></tr>,4
com.dsespace.rvwg.R.attr#layout_goneMarginLeft},4
#SwitchCompat_android_thumb,4
#Toolbar_titleMarginBottom,4
com.dsespace.rvwg:layout_constraintGuide_begin}</code></td><td></td></tr>,4
com.dsespace.rvwg:layout_constraintHorizontal_weight,4
com.dsespace.rvwg:layout_constraintVertical_chainStyle,4
#ScrollingViewBehavior_Layout_behavior_overlapTop,4
#MenuView_subMenuArrow,4
#DrawerArrowToggle_color,4
#ActionBar_contentInsetRight,4
#CollapsingToolbarLayout_collapsedTitleTextAppearance,4
#ConstraintSet_layout_constraintRight_toLeftOf,4
com.dsespace.rvwg.R.attr#height},4
#ActionBarLayout_android_layout_gravity,4
#AppCompatTheme_textColorSearchUrl,4
#AppCompatTheme_colorControlActivated,4
#AppCompatImageView_srcCompat,4
#ConstraintSet_layout_constraintHeight_default,4
com.dsespace.rvwg.R.attr#layout_constraintDimensionRatio},4
android:orderInCategory}</code></td><td></td></tr>,4
#ActionBar_height,4
android:thumb,4
#AppCompatSeekBar_android_thumb,4
#AppCompatTextHelper_android_drawableStart,4
com.dsespace.rvwg:layout_constraintHorizontal_chainStyle}</code></td><td></td></tr>,4
com.dsespace.rvwg:layout_goneMarginBottom}</code></td><td></td></tr>,4
com.dsespace.rvwg:textAllCaps}</code></td><td></td></tr>,4
#ConstraintSet_layout_constraintHeight_max,4
#ConstraintLayout_Layout_layout_editor_absoluteX,4
#ConstraintLayout_Layout_layout_constraintRight_toLeftOf,4
#ConstraintSet_android_layout_marginRight,4
#ConstraintLayout_Layout_layout_constraintStart_toStartOf,4
com.dsespace.rvwg:contentInsetRight}</code></td><td></td></tr>,4
android:focusable}</code></td><td></td></tr>,4
#ConstraintSet_android_layout_marginTop,4
#FloatingActionButton_useCompatPadding,4
#CollapsingToolbarLayout_expandedTitleTextAppearance,4
android.R.attr#gravity},4
#MenuItem_android_checked,4
